date	keyword	slug	status	sentiment_found
2026-03-18	medicare agent that helps with paperwork near me	medicare-agent-that-helps-with-paperwork-near-me	rebuilt	no
2026-03-18	free medicare advocate near me	free-medicare-advocate-near-me	rebuilt	yes
2026-03-18	medicare enrollment help for people with diabetes	medicare-enrollment-help-for-people-with-diabetes	rebuilt	yes
2026-03-18	medicare enrollment help for people with lupus	medicare-enrollment-help-for-people-with-lupus	rebuilt	yes
2026-03-18	best medicare insurance brokers near me	best-medicare-insurance-brokers-near-me	error	429 {"type":"error","error":{"type":"rate_limit_error","message":"This request would exceed your organization's rate limit of 8,000 output tokens per minute (org: fc0adb0e-51f2-4ed0-823a-fbca24c0c48c, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase."},"request_id":"req_011CZAiiiohSqbpmhFZrZv6y"}
2026-03-18	independent medicare supplement insurance agents	independent-medicare-supplement-insurance-agents	rebuilt	yes
2026-03-18	independent medicare advantage agents near me	independent-medicare-advantage-agents-near-me	rebuilt	yes
2026-03-18	independent medicare supplement insurance agents near me	independent-medicare-supplement-insurance-agents-near-me	rebuilt	yes
2026-03-18	medicare brokers in my area	medicare-brokers-in-my-area	rebuilt	yes
2026-03-18	medicare advantage agents near me	medicare-advantage-agents-near-me	rebuilt	yes
2026-03-18	medicare agent that helps with paperwork near me	medicare-agent-that-helps-with-paperwork-near-me	rebuilt	yes
2026-03-18	free medicare advocate near me	free-medicare-advocate-near-me	rebuilt	yes
2026-03-18	medicare enrollment help for people with diabetes	medicare-enrollment-help-for-people-with-diabetes	rebuilt	yes
2026-03-18	medicare enrollment help for people with lupus	medicare-enrollment-help-for-people-with-lupus	rebuilt	yes
2026-03-18	best medicare insurance brokers near me	best-medicare-insurance-brokers-near-me	rebuilt	no
2026-03-18	independent medicare supplement insurance agents	independent-medicare-supplement-insurance-agents	rebuilt	yes
2026-03-18	independent medicare advantage agents near me	independent-medicare-advantage-agents-near-me	rebuilt	yes
2026-03-18	independent medicare supplement insurance agents near me	independent-medicare-supplement-insurance-agents-near-me	rebuilt	yes
2026-03-18	medicare brokers in my area	medicare-brokers-in-my-area	rebuilt	yes
2026-03-18	medicare advantage agents near me	medicare-advantage-agents-near-me	rebuilt	yes
2026-03-18	need help finding best and cheapest medicare supplement	best-and-cheapest-medicare-supplement	rebuilt	yes
2026-03-18	what's the best medicare plan for someone with chronic conditions	best-medicare-plan-for-chronic-conditions	rebuilt	yes
2026-03-18	free medicare agent that helps with paperwork	free-medicare-agent-that-helps-with-paperwork	rebuilt	yes
2026-03-18	medicare supplement for seniors turning 65	medicare-supplement-for-seniors-turning-65	rebuilt	yes
2026-03-18	medicare broker for people with parkinsons	medicare-broker-for-people-with-parkinsons	rebuilt	yes
2026-03-18	my medicare supplement rate just jumped — why, and what can i do?	medicare-supplement-rate-jumped-why-and-what-can-i-do	rebuilt	yes
2026-03-18	how to enroll in medicare in new jersey	how-to-enroll-in-medicare-in-new-jersey	rebuilt	yes
2026-03-18	what time of the year can you switch medicare supplement plans	what-time-of-year-can-you-switch-medicare-supplement-plans	rebuilt	yes
2026-03-18	the best medicare plan for foreign travel	best-medicare-plan-for-foreign-travel	rebuilt	yes
2026-03-18	average cost of medicare supplement insurance by age in 2026	average-cost-of-medicare-supplement-insurance-by-age-in-2026	rebuilt	yes
2026-03-18	medicare agent that helps with paperwork near me	medicare-agent-that-helps-with-paperwork-near-me	rebuilt	yes
2026-03-18	free medicare advocate near me	free-medicare-advocate-near-me	rebuilt	yes
2026-03-18	medicare enrollment help for people with diabetes	medicare-enrollment-help-for-people-with-diabetes	rebuilt	yes
